Filename,transcription,Class,sentiment_label
71.wav," I believe in you, I love you.",Positive,2
190.wav, You should explain more.,Neutral,1
253.wav, You are a very lazy person.,Negative,0
2.wav," Bye,{\rtf1 {\pr-",Positive,2
282.wav, No one likes to talk about you.,Negative,0
116.wav, Theyiji being along with his friends for two years and now gonna stay.,Positive,2
97.wav, You have a great choice.,Positive,2
174.wav, your choice was good but not great,Neutral,1
287.wav, I'm gonna love you,Negative,0
144.wav, You should provide him more respect.,Neutral,1
110.wav, We're dealing away with殷 seeds.,Positive,2
17.wav, neuen the record has been야,Positive,2
230.wav, It is providing me some relief.,Neutral,1
349.wav, get away from my side,Negative,0
343.wav, What nonsense are you talking about?,Negative,0
37.wav, I understood everything you taught me very well.,Positive,2
247.wav, No one likes to talk with you.,Negative,0
106.wav, You have a great ideology.,Positive,2
254.wav,you are converter-иться,Negative,0
70.wav, I believe you a lot.,Positive,2
149.wav, We your only refцию cou solidta,Neutral,1
54.wav, You cook great.,Positive,2
73.wav, यो अर लेगुलर गाई,Positive,2
321.wav, I am very much ashamed of you.,Negative,0
302.wav," I don't do this, I don't do this.",Negative,0
183.wav, You should be more loyal.,Neutral,1
160.wav, Your explanation was good but try to be more precise.,Neutral,1
108.wav, You have a great ideology.,Positive,2
79.wav, You are a very responsible person.,Positive,2
355.wav, You can never be an ideal of someone.,Negative,0
210.wav, You need to work more on it.,Neutral,1
29.wav, Yo ahora veré que haré un persen,Positive,2
301.wav, Your attitude is very bad.,Negative,0
243.wav, You will now be in trouble.,Negative,0
303.wav, Your attitude is very bad.,Negative,0
324.wav, Everything you said was useless.,Negative,0
58.wav, You are a great mentor.,Positive,2
74.wav, We are at a limit back,Positive,2
145.wav, Your performance was good but you should improve more.,Neutral,1
28.wav, You are a very caring person.,Positive,2
289.wav, What rubbish are you talking about?,Negative,0
171.wav, There has neither been gain nor loss.,Neutral,1
261.wav, Your answers were totally wrong.,Negative,0
168.wav, You have not won but you have also not lost.,Neutral,1
22.wav, Wow wonderful suggestion,Positive,2
163.wav, You can do a lot better than this.,Neutral,1
20.wav, I'm doing a great job.,Positive,2
226.wav, The project was good but it needs more modification.,Neutral,1
308.wav, You are recoil aribile,Negative,0
266.wav, நிற்வாய்சியும் வெரியம் தினைக்கிறேன்,Negative,0
76.wav, You guided me to the correct path.,Positive,2
317.wav, educator,Negative,0
280.wav, No one likes to talk about you.,Negative,0
159.wav, You should be more responsive.,Neutral,1
250.wav, You do not deserve respect.,Negative,0
188.wav, अदिया साँच्वो प्लीज अलागुलेच मेर्द,Neutral,1
18.wav, I have a great respect for you.,Positive,2
1.wav, I like talking with you.,Positive,2
122.wav, آپ کے کے د mình کوئی lidہ شکرہ ہوئی一些 Vishal,Neutral,1
62.wav, Storm Planning,Positive,2
198.wav, You should think more before you write.,Neutral,1
334.wav, Your idea is very bad.,Negative,0
31.wav, Everyone loves to talk with you.,Positive,2
203.wav," If you improve your skills, there is no chance that you will be able to win.",Neutral,1
114.wav," Congratulations, you have won the challenge!",Positive,2
209.wav, Χρήτη ήχος my private.,Neutral,1
197.wav, You should think more before you wait.,Neutral,1
50.wav, AND IT'S non-man Rita,Positive,2
330.wav, You should be kicked off from the office.,Negative,0
82.wav, you are a very caring person,Positive,2
16.wav, I have a great respect for you.,Positive,2
278.wav, Listen to this progress and decide,Negative,0
64.wav, Wow wonderful solution,Positive,2
327.wav, Your explanation was totally incorrect.,Negative,0
166.wav, You have not won but you have also not lost.,Neutral,1
193.wav, You should be more responsible.,Neutral,1
204.wav, If you improve more there is high chance that you will win.,Neutral,1
273.wav, No one likes your suggestions.,Negative,0
297.wav, your choice is very bad,Negative,0
9.wav, You are a great leader.,Positive,2
60.wav, You are a great mentor.,Positive,2
192.wav, You should explain more.,Neutral,1
43.wav, You are a brilliant student.,Positive,2
3.wav, I like talking with you.,Positive,2
67.wav, You have taken the correct decision.,Positive,2
222.wav, You are very close to the correct answer.,Neutral,1
121.wav, You might be the lucky person.,Neutral,1
284.wav, You are a good lad.,Negative,0
38.wav,kawawaii Animates,Positive,2
